,STATE,2020-02-29 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00
0,BUENOS AIRES,23,190,360,1429,3586,5053,5073,3697,1967,1709,2416,1611,2068,7235,7491
1,CAPITAL FEDERAL,25,143,345,920,1739,1672,1197,681,316,386,625,519,610,1871,1699
2,SANTA FE,1,3,2,4,21,202,997,1375,734,453,540,209,204,796,1392
3,ENTRE RIOS,0,0,0,1,14,87,143,214,187,155,220,66,37,172,411
4,CORDOBA,3,22,14,3,22,144,605,1181,510,156,211,146,180,482,1065
5,SAN LUIS,0,0,0,0,0,2,33,144,131,26,97,80,59,262,234
6,MENDOZA,4,6,3,6,64,274,525,604,258,65,73,65,119,588,749
7,SANTA CRUZ,0,0,0,1,5,40,66,126,155,102,120,49,45,78,79
8,LA PAMPA,0,0,0,1,0,3,12,37,53,99,115,30,27,107,251
9,CHACO,6,15,53,46,53,73,96,158,130,128,110,54,75,122,255
10,FORMOSA,0,0,0,0,0,1,0,2,0,1,13,29,33,79,488
11,SALTA,0,1,0,0,7,158,578,336,83,29,52,83,96,111,230
12,NEUQUEN,3,4,0,15,11,74,232,367,187,112,177,135,67,106,406
13,CHUBUT,0,0,1,1,3,4,97,201,184,150,205,68,45,77,104
14,SANTIAGO DEL ESTERO,0,0,0,2,0,14,62,75,51,20,36,17,28,60,225
15,RIO NEGRO,0,13,6,40,50,161,224,279,127,146,146,104,71,127,331
16,TUCUMAN,4,0,1,0,1,63,312,702,289,100,73,43,93,273,379
17,SAN JUAN,0,0,0,1,0,12,47,65,111,53,44,22,26,111,229
18,CATAMARCA,0,0,0,0,1,3,1,7,14,6,25,22,22,68,115
19,LA RIOJA,1,8,12,18,20,94,138,99,41,34,23,20,18,58,79
20,TIERRA DEL FUEGO,0,0,1,0,7,45,39,109,76,34,55,15,21,30,25
21,CORRIENTES,0,0,1,3,2,0,30,42,86,94,63,74,84,146,182
22,JUJUY,0,1,2,7,131,363,302,88,18,6,26,44,56,60,64
23,MISIONES,0,1,0,2,0,0,0,3,2,10,75,59,67,43,75
