STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
BUENOS AIRES,0.019109389584536222,0.11023168018730792,0.31761344500740907,1.6705325774052118,4.7364353472919944,8.031971419535234,8.54805318925452,7.19673719356683,4.012587059942179,3.8216855405020307,6.645322290756672,4.010663295890044,4.959078973592362,17.38165708931421,16.790548521561675
CAPITAL FEDERAL,0.15150037252488863,0.5219499135617737,3.094689116393101,9.49436923615449,17.806482140596493,23.65723282840127,20.535218302351854,13.458283092627605,7.196613586193681,8.972073431331246,19.273061089239253,12.591825482639372,15.101612475882732,46.907005750788116,41.21709449956798
SANTA FE,0.035616808134129145,0.05030093078591923,0.019995401057756716,0.06904661927756615,0.2758740489687372,2.4366270757725723,11.653882107115365,20.330948881757198,13.247578057046878,9.0557296821731,9.476570388810574,3.3248602821351088,3.9806469512012237,13.807449286664067,21.996503304240026
ENTRE RIOS,0.010515247108307046,0.005662056135242255,0.010515247108307046,0.21920245895009302,0.4222276146566367,2.342473509665939,3.565477634878266,7.097791798107256,6.6949769473428775,6.044649356952196,10.287147132572999,3.3163471649276066,2.65793092291515,10.61959071422794,18.22858529483135
CORDOBA,0.030863964052559516,0.07776508589713525,0.07262109188837533,0.07352885553698002,0.4871664914178512,2.031877633460168,7.835210638989962,15.51216781523984,9.005923157807144,4.1602808015553014,5.435991315727762,4.681034547971526,5.576997269144357,14.656449282488483,25.561413993176643
SAN LUIS,0.02780429483674245,0.011585122848642687,0.004634049139457075,0.004634049139457075,0.04402346682484221,0.29426212035552424,3.7582138520996877,14.38640555344449,15.394311241276402,3.185908783376739,22.66976839022401,14.599571813859514,11.972065951787352,41.98216817891137,24.94972056683689
MENDOZA,0.014354534023116542,0.06315994970171279,0.03100579348993173,0.08383047869500061,0.7607903032251767,4.126067259604619,11.135099132411964,12.561365632948823,5.202657311338359,1.9051337555480274,2.102652143706111,1.868386148448849,2.735974184806013,14.255774829037499,13.712599261602769
SANTA CRUZ,0.0843962366617252,0.12842905578958183,0.018347007969940262,0.025685811157916367,1.4604218344072448,5.559143414891899,11.518251603528496,17.51772320969896,25.97936328543541,28.914884560625854,31.578870117861182,11.206352468039512,10.883445127768564,19.73037237087376,23.35941054732794
LA PAMPA,0.009465513977408973,0.006310342651605982,0.003155171325802991,0.018931027954817947,0.31551713258029906,0.37231021644475293,1.8899476241559918,8.209755789739383,7.8816179718558725,17.37552849119707,17.290338865400393,7.0612734271470945,7.215876822111441,21.666561494289137,52.675585284280935
CHACO,0.09492475314817944,0.22592091249266708,0.5714470139520402,1.196051889667061,1.4893693768949354,1.851032686389499,3.1913702008417926,5.202825720051715,5.2949027306054495,5.188587007079488,5.756237030905601,3.1590957847714116,3.6118868572882277,6.025823329846431,12.409512979061498
FORMOSA,0.0,0.003788632209056725,0.00757726441811345,0.14586234004868392,0.0151545288362269,0.0151545288362269,0.06251243144943597,0.0814555924947196,0.09471580522641812,0.08334990859924796,1.5647051023404275,1.1479555593441877,1.9947148580683658,3.7374856742344593,49.788310175318955
SALTA,0.00329162027539341,0.0049374304130901155,0.005760335481938468,0.032093297685085745,0.6286994726001414,3.2850370348426234,8.06611548485155,5.158791876610323,1.8334324933941297,0.910133006146278,1.2508157046494959,1.997190602094952,2.4119347567945213,4.521040448252849,8.359069689361567
NEUQUEN,0.03997572383316313,0.17625660053712836,0.06178066410579757,0.6904897753000905,1.3537233752593878,4.0230114803010535,14.485748654453477,26.652905326583493,19.290103827857266,12.54329189183296,24.265264366730023,12.995744402490125,6.801324286705892,11.718338318184957,35.50934523398519
CHUBUT,0.0019736790166341666,0.007894716066536666,0.021710469182975835,0.2822360993786858,0.367104297093955,1.679600843155676,7.912479177686374,19.381527943347518,16.608508924976512,17.802584730040184,19.46244878302952,8.297346585930038,5.019065739300686,9.224975723748097,14.25785721616522
SANTIAGO DEL ESTERO,0.005577487475751873,0.012270472446654121,0.02230994990300749,0.02342544739815787,0.052428382272067614,1.0340661780043974,2.9159104523230797,6.958473374748037,6.695215965892548,2.0112419837561255,3.864083323200898,1.8985767367459376,2.4596719768065762,5.9299846842193915,13.824360457398594
RIO NEGRO,0.007894229949445351,0.40102688143182386,0.3331365038665938,0.9851998976907798,1.842513270200545,6.978499275309691,11.32821997745408,17.891482757422946,12.341839102962863,11.527154572180102,16.023707951384175,7.418997306488742,4.494974533214183,10.232500860471065,19.975559464076518
TUCUMAN,0.015191271923767437,0.02554895732633614,0.03797817980941859,0.0718132854578097,0.24029830133959396,2.0411545366662063,10.656677254522856,22.91120011048198,11.204253556138655,3.672835243750863,3.636928601021958,2.4022925010357685,4.769368871702803,13.401463886203562,16.153846153846153
SAN JUAN,0.001469665371891474,0.010287657603240317,0.010287657603240317,0.013226988347023266,0.026453976694046533,0.30716006272531804,0.8039069584246362,2.660094323123568,7.611396961025944,6.33131842210847,3.7491163636951503,2.031077543954017,2.5498694202317074,9.962861556052303,19.302584994422617
CATAMARCA,0.005437442227176336,0.01631232668152901,0.040780816703822526,0.0761241911804687,0.7286172584416291,0.274590832472405,1.2424555489097928,2.1586645641890057,4.670762873144473,3.167310097330216,8.449785221032027,7.446577130117992,7.017019194171063,12.16899570442064,22.01892229895057
LA RIOJA,0.012053747660819594,0.4640692849415544,0.48214990643278377,0.4851633433479887,1.3982347286550731,4.740136267617306,10.233631764035836,9.395896301608873,4.32428197331903,1.7568337215644558,2.5644348148393687,3.004396604459284,3.058638468932972,8.012728757529825,11.514342452997917
TIERRA DEL FUEGO,0.4200015849116412,0.7845312623821222,0.22981218797052064,0.015849116411760043,3.2886916554402092,14.05024169902528,21.4597036215231,57.453046992630156,37.47523575560662,19.454790395435456,21.071400269434978,8.312861557968143,7.6392741104683415,18.321578571994614,15.040811474760282
CORRIENTES,0.0261743736774391,0.08557006779162783,0.13993222850630904,0.08758348115143083,0.0795298277122188,0.25872361673468647,1.0399280003382534,1.348986951068015,4.593602580390562,4.7234677420978555,5.09393580030161,4.7436018756958855,7.710366461365617,8.002311398537055,14.685837046403138
JUJUY,0.007437598548180764,0.06842590664326302,0.06842590664326302,0.2930413827983221,3.965727545889983,9.2330348377116,9.929194061821319,3.012227412013209,0.7824353672686163,0.31237913902359205,1.190015767708922,2.1747538154880552,2.290780352839675,3.5908725790616725,5.09177996608455
MISIONES,0.0018217773441947698,0.013663330081460773,0.014574218753558158,0.011841552737266003,0.002732666016292155,0.0018217773441947698,0.0364355468838954,0.16122729496123714,0.19128662114045084,0.4791274415232245,3.2445854500108853,3.2072390144548923,3.0186850593307337,2.9603881843165007,3.9304846201002155
