STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
BUENOS AIRES,0.2745098039215686,0.5448028673835126,0.4150326797385621,0.4011054086063956,0.3632658797077009,0.3050553444572939,0.2776327241079199,0.2302806142960521,0.2224428997020854,0.2028004308355131,0.1717987232444611,0.1814565483476132,0.1991324921135646,0.2036479626218608,0.2
CAPITAL FEDERAL,0.2340425531914893,0.34,0.2941903584672435,0.2418118466898954,0.2216740929344366,0.1745264006449012,0.1549566891241578,0.1411372950819672,0.124390243902439,0.1214083367057871,0.1014342132612762,0.1115795390668915,0.1086694035257184,0.1094079853143643,0.1018233968449088
SANTA FE,0.0588235294117647,0.0476190476190476,0.125,0.1739130434782608,0.1326530612244898,0.2002551020408163,0.1869575998016365,0.153347095252138,0.1230969986950848,0.0974529346622369,0.1042134131139366,0.1165980795610425,0.0927467300832342,0.1023824855119124,0.1009741765888356
ENTRE RIOS,0.0,0.0,0.0,0.0769230769230769,0.2037037037037037,0.2605363984674329,0.2211764705882353,0.1834254143646408,0.1600901916572717,0.1469072164948453,0.1276102088167053,0.1067961165048543,0.0968992248062015,0.1085043988269794,0.1314693634741225
CORDOBA,0.125,0.2894736842105263,0.4482758620689655,0.1666666666666666,0.1140939597315436,0.1496296296296296,0.1599725369035358,0.1356374807987711,0.1103807176116132,0.0760383386581469,0.0812928501469147,0.0717377860235003,0.0680489101541733,0.0741718674987998,0.0937818552497451
SAN LUIS,0.0937818552497451,0.0937818552497451,0.0937818552497451,0.0937818552497451,0.0,0.2857142857142857,0.1513157894736842,0.177449168207024,0.1532385466034755,0.1926605504587156,0.124390243902439,0.2103174603174603,0.15,0.1205128205128205,0.1514161220043573
MENDOZA,0.4,0.3333333333333333,0.2222222222222222,0.3636363636363636,0.3459119496855345,0.2878998609179415,0.1964556962025316,0.1799146956184567,0.1499189627228525,0.101511879049676,0.1098039215686274,0.1328502415458937,0.1517367458866544,0.1631649530621368,0.2096924510717614
SANTA CRUZ,0.0,0.0,0.0,1.0,0.25,0.2790697674418604,0.1973094170403587,0.2416107382550335,0.2214111922141119,0.1192307692307692,0.1291866028708134,0.1353711790393013,0.1351351351351351,0.1095890410958904,0.1136363636363636
LA PAMPA,0.0,0.0,0.0,0.5,0.0,0.1666666666666666,0.1666666666666666,0.1372549019607843,0.149390243902439,0.1360655737704918,0.1271428571428571,0.0978260869565217,0.0817843866171003,0.1102941176470588,0.098981077147016
CHACO,0.125,0.2368421052631578,0.4035087719298245,0.2857142857142857,0.2892561983471074,0.2708333333333333,0.241635687732342,0.2186788154897494,0.1563706563706563,0.1493848857644991,0.1167247386759581,0.1129032258064516,0.1266490765171504,0.0995762711864406,0.1282758620689655
FORMOSA,0.1282758620689655,0.1282758620689655,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.2,0.1777777777777777,0.2166666666666666,0.1808510638297872,0.1893939393939394,0.1169590643274853
SALTA,0.1169590643274853,0.1169590643274853,0.1169590643274853,0.0,0.1764705882352941,0.2657342657342657,0.3363095238095238,0.2884615384615384,0.2101449275362318,0.1709401709401709,0.1923076923076923,0.1706484641638225,0.1810089020771513,0.1614457831325301,0.1891117478510028
NEUQUEN,0.6666666666666666,0.4285714285714285,0.0,0.3823529411764705,0.0925925925925925,0.2077922077922078,0.2294117647058823,0.193469387755102,0.1574178935447338,0.134453781512605,0.118659420289855,0.1503649635036496,0.1268011527377521,0.1626016260162601,0.1615678776290631
CHUBUT,0.1615678776290631,0.0,0.0,0.1111111111111111,0.1818181818181818,0.1153846153846153,0.2648221343873518,0.2236220472440944,0.2172470978441127,0.1409395973154362,0.1747787610619469,0.1401617250673854,0.1604938271604938,0.1405405405405405,0.1382716049382716
SANTIAGO DEL ESTERO,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.1673640167364016,0.0762564991334488,0.0516666666666666,0.0613207547169811,0.053763440860215,0.0555555555555555,0.0865384615384615,0.07,0.1140443505807814
RIO NEGRO,0.1140443505807814,0.3076923076923077,0.238095238095238,0.3648648648648648,0.2237762237762237,0.1936685288640595,0.2052341597796143,0.1518489378442171,0.1160822249093107,0.1382211538461538,0.1102204408817635,0.1514598540145985,0.1517615176151761,0.1462962962962962,0.1734279918864097
TUCUMAN,0.6666666666666666,0.0,0.0,0.0,0.0555555555555555,0.1666666666666666,0.1367781155015197,0.1302770448548812,0.1177884615384615,0.1228070175438596,0.0807017543859649,0.067251461988304,0.0827814569536423,0.0757389162561576,0.079136690647482
SAN JUAN,0.079136690647482,0.0,0.0,0.5,0.0,0.2307692307692307,0.3214285714285714,0.2111111111111111,0.1834451901565995,0.1114369501466275,0.1434599156118143,0.152,0.1383647798742138,0.1443850267379679,0.1623616236162361
CATAMARCA,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0862068965517241,0.0718954248366013,0.0526315789473684,0.0634920634920634,0.0601503759398496,0.063063063063063,0.0850515463917525,0.0784641068447412
LA RIOJA,0.0784641068447412,0.5333333333333333,0.1351351351351351,0.5,0.3023255813953488,0.4405594405594406,0.3027210884353741,0.1872909698996655,0.2061068702290076,0.3793103448275862,0.0987654320987654,0.1428571428571428,0.1022727272727272,0.1347150259067357,0.1223776223776223
TIERRA DEL FUEGO,0.0,0.0,0.5,0.5,0.2307692307692307,0.2478632478632478,0.1666666666666666,0.2011331444759206,0.1725352112676056,0.1282051282051282,0.1981981981981982,0.1267605633802817,0.2121212121212121,0.1171171171171171,0.1285714285714285
CORRIENTES,0.0,0.0,0.0344827586206896,0.1818181818181818,0.3333333333333333,0.0,0.2234042553191489,0.2246376811594203,0.1428571428571428,0.1421911421911421,0.0955555555555555,0.1150895140664961,0.0969581749049429,0.1650853889943074,0.1155378486055776
JUJUY,0.1155378486055776,0.0,0.0,0.3333333333333333,0.3368983957219251,0.2431466030989273,0.1886964448495897,0.1848484848484848,0.1756756756756756,0.1304347826086956,0.1759259259259259,0.1444444444444444,0.1697247706422018,0.1583710407239819,0.1184210526315789
MISIONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0869565217391304,0.0454545454545454,0.1247216035634743,0.1060171919770773,0.1466275659824047,0.0851851851851851,0.05625
